Sample,Date,Site,Long-legged fly,Syrphidae,Diptera <0.5/= cm,Diptera >0.5 cm,Formicidae,Apoidea,Ichneumonoidea,Chalcidoidea,Wingless parasitoid,Pompilidae,Other wasp,Miridae,Cicadellidae,Membracidae,Aphididae,Aleyrodidae,Hemiptera nymph,Orius ,Ceropidae,Nabidae,Alydidae,Derbidae,Unknown Hemipteran,Carabidae,Staphylinidae,Cantharidae,Lampyridae,Coccinellidae,Scarabaeidae,Chrysomelidae,Curculionidae,Mordellidae,Small unknown coleoptera,Buprestidae,Elateridae,Micro Lepidoptera,Macro Lepidoptera,Orthoptera,Mollusca,Araneae,Thysanoptera,Collembola,Psocidae,Acarina,Larva,Caterpillar,Earthworm,Hemerobidae,Zygoptera
C21,8/11/2020,Dix,0,1,52,3,0,0,0,6,0,0,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0,5,0,0,0,0,0,0,0,0,5,0,0,0,0,2,12,1,0,0,0,0,0,0,0
C22,8/11/2020,Dix,1,0,46,0,0,1,1,10,0,0,0,0,3,0,1,5,0,0,0,0,0,0,0,0,1,3,0,1,0,1,0,0,1,0,3,1,0,0,0,0,34,0,1,0,0,0,0,0,0
C23,8/11/2020,Rec,3,0,21,4,0,0,3,6,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,3,0,1,0,3,0,0,3,0,0,0,1,0,0,0,15,0,1,0,0,0,0,0,0
C24,8/11/2020,Rec,0,0,26,4,0,0,0,6,0,0,0,0,1,0,7,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0
C25,8/11/2020,Allerton,2,0,75,3,0,0,4,21,0,0,0,0,8,0,9,17,0,0,0,0,0,0,0,0,0,1,0,0,0,6,0,0,6,0,1,0,0,0,0,0,18,1,0,2,0,0,0,0,0
C26,8/11/2020,Allerton,10,0,93,2,0,0,0,11,0,0,0,0,6,0,6,12,0,0,0,0,0,0,0,0,1,1,0,1,0,2,0,0,3,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0
C27,8/26/2020,Dix,0,0,19,1,0,0,7,6,0,0,0,0,1,0,7,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0
C28,8/26/2020,Dix,1,0,29,0,0,0,2,9,0,0,0,0,1,0,5,1,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0
C29,8/26/2020,Allerton,6,0,31,1,0,0,3,19,0,0,0,0,3,0,24,5,1,0,0,0,0,0,0,0,0,28,0,3,0,8,0,0,0,0,0,0,1,0,0,1,12,0,0,0,0,0,0,0,0
C30,8/26/2020,Allerton,7,0,29,0,0,0,5,12,0,0,0,0,2,0,14,3,0,0,0,0,0,0,0,0,0,32,0,0,0,9,0,0,0,0,0,0,1,0,0,3,10,0,2,0,0,0,0,0,0
C31,8/26/2020,Rec,0,0,11,0,0,0,2,6,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,27,0,1,0,0,0,0,0,0
C32,8/26/2020,Rec,1,0,14,0,0,0,2,7,0,0,0,0,0,0,6,4,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,8,0,4,0,0,0,0,0,0
C33,9/7/2020,Dix,0,1,5,1,0,0,3,5,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0
C34,9/7/2020,Dix,0,0,4,2,0,0,2,7,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,0,0,0,0,0,0,0,0
C35,9/7/2020,Allerton,0,0,37,3,0,0,2,32,0,0,0,0,0,0,38,12,0,0,0,0,0,0,0,0,2,1,0,1,0,2,0,0,0,0,0,0,1,0,0,0,25,0,0,0,0,0,0,0,0
C36,9/7/2020,Allerton,2,0,23,0,0,1,1,44,0,0,1,0,0,0,23,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,15,0,0,0,0,0,0,0,0
C37,9/7/2020,Rec,0,1,14,3,0,1,1,9,0,0,0,0,0,0,12,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,1,0,0,0,0,0,0
C38,9/7/2020,Rec,0,2,9,2,0,1,0,14,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0
C39,9/23/2020,Dix,2,0,6,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,5,0,0,0,0,0,0,0,0
C40,9/23/2020,Dix,1,0,7,0,0,0,0,7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,7,0,1,0,0,0,0,0,0
C41,9/23/2020,Allerton,1,0,8,1,0,0,0,5,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
C42,9/23/2020,Allerton,1,0,13,2,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0
C43,9/23/2020,Rec,0,0,16,1,0,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0
C44,9/23/2020,Rec,0,0,21,0,2,0,1,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
